doc;Doc bom dona heloisa eu gostaria de saber 
inf;e nesta ocasião  ahh o ministério da educação  criou 
inf;uma cadeira  de biblioteconomia arquivística  no  
inf;ensino comercial  coisa muito interessante porque hoje nós estamos vendo o ensino profissionalizante  
inf;a preocupação  da profissionalizante  e isto 
inf;já  foi o início  colocar uma cadeira 
inf;que pudesse preparar  não naturalmente bibliotecários  porque para isso seria necessário uma formação universitária 
inf;mas preparar pessoas que pudessem trabalhar em bibliotecas 
inf;e  eu fui lecionar nesta  eh  esta cadeira na escola de comércio do instituto mackenzie e lá eu senti a falta  
inf;de um material  de um texto  por assim dizer 
inf;para que  os alunos tivessem uma base para aquela cadeira 
inf;porque é lógico que nós hoje não nos preocupamos 
inf;em fazer o ensino  baseado apenas em um texto 
inf;mas  as alunas não tinham possibilidade 
inf;de encontrar  quando perdiam uma aula um  uma  
inf;orientação segura daquilo que havia sido dado na aula anterior inf;porquanto os livros que nós tínhamos de biblioteconomia 
inf;eram especializados nas diferentes matérias então elas teriam que ler muita coisa para obter alguma informação sobre a aula dada 
inf;e   o que não era direito  também porque 
inf;aqueles livros estavam ahn eh  destinados a que estavam se preparando prum curso muito mais desenvolvido e não  
inf;um curso modesto  como era aquele e   preocupada com este problema vendo que estava sendo uma falha na ahn 
inf;no ensino da nossa cadeira  eu escrevi dois trabalhos  um 
inf;para a parte de biblioteca e outro para a parte de arquivo  
inf;ahn  os títulos foram  como se organiza uma biblioteca  
inf;e   o manual do arquivista   como esses livros tiveram 
inf;assim  uma aceitação boa  eu ti  havia pensado numa coisa modesta 
inf;apenas para o nosso uso  mas houve tanta procura naturalmente porque 
inf;havia falta mesmo deste material em outras escolas  
inf;e   para outras pessoas que quisessem também ter uma orientação sobre o arquivo e uma orientação sobre biblioteca 
inf;sem propriamente fazer uma escola de biblioteconomia 
inf;então eu fui  tendo  oportunidade de tirar várias edições 
inf;e melhorando de edição para edição 
inf;e   depois  numa ocasião em que eu mudei 
inf;de editora  para lançar os meus livros  eu 
inf;ele meu pediu que trocasse os títulos 
inf;e eu troquei  hoje  ele é publicado como título de 
inf;a técnica de arquivar  um
inf;e o outro  organize sua biblioteca   além disso  
inf;eu fiz uma tabela para   guardarem-se os livros  classificados pela biblioteca 
inf;justamente porque  até então só se usava no brasil ahn  
inf;tabela americana  todos os  as  
inf;identificações de autores em biblioteca 
inf;eram feitas de acordo com tabelas americanas  
inf;e   então eu fiz uma tabela  examinando a frequência dos sobrenomes nas nossas bibliotecas 
inf;não só  observando a  frequência dos nomes brasileiros mas de todos os nomes e 
inf;isto foi muito interessante porque 
inf;a biblioteca do mackenzie  tinha um acervo muito grande  de obras estrangeiras 
inf;quer dizer além de ter todas as nacionais ainda tinha 
inf;estrangeiras  de maneira que eu fiz um levantamento 
inf;da frequência de combinação de letras inf;e pudemos  então  lançar esta tabela 
inf;para identificação de autores  nas bibliotecas 
doc;Doc a senhora que passou grande parte  
doc;eh  se dedicando ao mackenzie  eu gostaria de saber como foi a época  
doc;de   eh  a senhora como aluna 
doc;a época  o ensino  na sua época e o ensino atual no mackenzie  houve grandes modificações 
inf;Inf houve grandes modificações  o quando 
inf;eu fiz  o meu curso  o mackenzie tinha um curso excelente 
inf;e próprio  porque nós não estávamos ainda com obrigatoriedade de programas 
inf;não só no mackenzie como em outros colégios 
inf;e o programa que nós seguimos 
inf;no mackenzie  era um programa tão bom  que 
inf;quando nós terminávamos o curso secundário 
inf;nós poderíamos entrar diretamente na escola de engenharia ou de arquitetura sem fazer vestibular
inf;isto todos os meus colegas entraram assim 
inf;e grades nomes da nossa engenharia e da nossa arquitetura 
inf;foram de pessoas que fizeram esse curso inf;a  mesmo para entrar em outras escolas superiores como a faculdade de direito 
inf;ou a escola de medicina  eu tive colegas  que saíram do mackenzie lá eles precisaram fazer vestibular inf;mas fizeram vestibular e entraram  prova que a base que era dada no curso secundário inf;era realmente excelente  com o eu disse  depois  
inf;surgiram os programas  como nós conhecemos ahn  oficiais 
inf;e a escola teve que se enquadrar para poder continuar a 
inf;as suas atividades  e hoje ela está  com to 
inf;sofrendo todas as consequências  que todos os outros estabelecimentos de ensino sofrem 
inf;não é  só por questão do programa  que temos que seguir 
inf;mas por muitos fatores  por exemplo os fatores econômicos  os professores antigamente se dedicavam demais aos alunos 
inf;porque em geral eles eram professores de poucos colégios 
inf;e então os trabalhos que nós tínhamos que fazer 
inf;e que os professores corrigiam  porque tinham tempo para isso  é claro 
inf;que ao serem desenvolvidos os alunos os alunos aproveitavam muito mais viam todos os erros cometidos  comentavam se os erros dos colegas e com isto nós todos podíamos
