doc;Doc bom dona heloisa eu gostaria de saber 
inf;e nesta ocasião  ahh o ministério da educação  criou 
inf;uma cadeira  de biblioteconomia arquivística  no  
inf;ensino comercial  coisa muito interessante porque hoje nós estamos vendo o ensino profissionalizante  
inf;a preocupação  da profissionalizante  e isto 
inf;já  foi o início  colocar uma cadeira 
inf;que pudesse preparar  não naturalmente bibliotecários  porque para isso seria necessário uma formação universitária 
inf;mas preparar pessoas que pudessem trabalhar em bibliotecas 
inf;e  eu fui lecionar nesta  eh  esta cadeira na escola de comércio do instituto mackenzie e lá eu senti a falta  
inf;de um material  de um texto  por assim dizer 
inf;para que  os alunos tivessem uma base para aquela cadeira 
inf;porque é lógico que nós hoje não nos preocupamos 
inf;em fazer o ensino  baseado apenas em um texto 
inf;mas  as alunas não tinham possibilidade 
inf;de encontrar  quando perdiam uma aula um  uma  
inf;orientação segura daquilo que havia sido dado na aula anterior 
inf;porquanto os livros que nós tínhamos de biblioteconomia 
inf;eram especializados nas diferentes matérias então elas teriam que ler muita coisa para obter alguma informação sobre a aula dada 
inf;e   o que não era direito  também porque 
inf;aqueles livros estavam ahn eh  destinados a que estavam se preparando prum curso muito mais desenvolvido e não  
inf;um curso modesto  como era aquele e   preocupada com este problema vendo que estava sendo uma falha na ahn 
inf;no ensino da nossa cadeira  eu escrevi dois trabalhos  um 
inf;para a parte de biblioteca e outro para a parte de arquivo  
inf;ahn  os títulos foram  como se organiza uma biblioteca  
inf;e   o manual do arquivista   como esses livros tiveram 
inf;assim  uma aceitação boa  eu ti  havia pensado numa coisa modesta 
inf;apenas para o nosso uso  mas houve tanta procura naturalmente porque 
inf;havia falta mesmo deste material em outras escolas  
inf;e   para outras pessoas que quisessem também ter uma orientação sobre o arquivo e uma orientação sobre biblioteca 
inf;sem propriamente fazer uma escola de biblioteconomia 
inf;então eu fui  tendo  oportunidade de tirar várias edições 
inf;e melhorando de edição para edição 
inf;e   depois  numa ocasião em que eu mudei 
inf;de editora  para lançar os meus livros  eu 
inf;ele meu pediu que trocasse os títulos 
inf;e eu troquei  hoje  ele é publicado como título de 
inf;a técnica de arquivar  um
inf;e o outro  organize sua biblioteca   além disso  
inf;eu fiz uma tabela para   guardarem-se os livros  classificados pela biblioteca 
inf;justamente porque  até então só se usava no brasil ahn  
inf;tabela americana  todos os  as  
inf;identificações de autores em biblioteca 
inf;eram feitas de acordo com tabelas americanas  
inf;e   então eu fiz uma tabela  examinando a frequência dos sobrenomes nas nossas bibliotecas 
inf;não só  observando a  frequência dos nomes brasileiros mas de todos os nomes e 
inf;isto foi muito interessante porque 
inf;a biblioteca do mackenzie  tinha um acervo muito grande  de obras estrangeiras 
inf;quer dizer além de ter todas as nacionais ainda tinha 
inf;estrangeiras  de maneira que eu fiz um levantamento 
inf;da frequência de combinação de letras 
inf;e pudemos  então  lançar esta tabela 
inf;para identificação de autores  nas bibliotecas 
doc;Doc a senhora que passou grande parte  
doc;eh  se dedicando ao mackenzie  eu gostaria de saber como foi a época  
doc;de   eh  a senhora como aluna 
doc;a época  o ensino  na sua época e o ensino atual no mackenzie  houve grandes modificações 
inf;Inf houve grandes modificações  o quando 
inf;eu fiz  o meu curso  o mackenzie tinha um curso excelente 
inf;e próprio  porque nós não estávamos ainda com obrigatoriedade de programas 
inf;não só no mackenzie como em outros colégios 
inf;e o programa que nós seguimos 
inf;no mackenzie  era um programa tão bom  que 
inf;quando nós terminávamos o curso secundário 
inf;nós poderíamos entrar diretamente na escola de engenharia ou de arquitetura sem fazer vestibular
inf;isto todos os meus colegas entraram assim 
inf;e grades nomes da nossa engenharia e da nossa arquitetura 
inf;foram de pessoas que fizeram esse curso 
inf;a  mesmo para entrar em outras escolas superiores como a faculdade de direito 
inf;ou a escola de medicina  eu tive colegas  que saíram do mackenzie lá eles precisaram fazer vestibular 
inf;mas fizeram vestibular e entraram  prova que a base que era dada no curso secundário 
inf;era realmente excelente  com o eu disse  depois  
inf;surgiram os programas  como nós conhecemos ahn  oficiais 
inf;e a escola teve que se enquadrar para poder continuar a 
inf;as suas atividades  e hoje ela está  com to 
inf;sofrendo todas as consequências  que todos os outros estabelecimentos de ensino sofrem 
inf;não é  só por questão do programa  que temos que seguir 
inf;mas por muitos fatores  por exemplo os fatores econômicos  os professores antigamente se dedicavam demais aos alunos 
inf;porque em geral eles eram professores de poucos colégios 
inf;e então os trabalhos que nós tínhamos que fazer 
inf;e que os professores corrigiam  porque tinham tempo para isso  é claro 
inf;que ao serem desenvolvidos os alunos os alunos aproveitavam muito mais viam todos os erros cometidos  comentavam se os erros dos colegas e com isto nós todos podíamos
inf;ter um resultado muito melhor 
inf;do nosso estudo  hoje  nós vemos um quadro completamente diferente 
inf;não no mackenzie só  mas em todos os estabelecimentos de ensino 
inf;vemos classes superlotadas  professores com   não podem se manter com  dando poucas aulas né
inf;a situação financeira obriga o professor a dar muitas aulas 
inf;então ele  não pode fazer as correções dos trabalhos dos alunos como eram feitas antigamente 
inf;de maneira que o  o ensino sofre  uma porção 
inf;de  de influências más  nós vimos a 
inf;uma  estamos atravessando uma   era utilitarista 
inf;todo mundo está sempre procurando obter o máximo de rendimento 
inf;quer dizer  é um defeito  que  não 
inf;não é do professor   mas é de todo o humano hoje  não é
inf;nós sentimos esse problema em todos os ahn 
inf;em todas as atividades  de maneira que hoje  eu acho que o ensino 
inf;im  piorou  nesse sentido e 
inf;estamos vendo mesmo campanhas para melhorar 
inf;opiniões de ministros de educação discussão sobre 
inf;a situação do ensino  quer dizer que isso   não podemos ahn 
inf;determinar que seja este ou aquele o defeito 
inf;mas é  a consequência de uma porção de fatores negativos 
inf;mas que naturalmente nós podemos cada um especialmente dos 
inf;ahn   na sua  área 
inf;poderá fazer um esforço para reduzir este prejuízo e tornar o ensino bom 
inf;nós também vemos um lado positivo 
inf;hoje  pelo menos é uma coisa que eu acho 
inf;o estudante  tem muita oportunidade  tem oportunidade que nós não tínhamos 
inf;por exemplo a  os meios de comunicação os meios de comunicação são extraordinários 
inf;de maneira que o nosso estudante hoje conhece muito mais 
inf;do que nós conhecíamos naquela idade 
inf;não por causa das aulas  mas por causa da  das facilidades que tem 
inf;de travar conhecimento com o que se passa no mundo 
inf;de maneira que  pode haver uma compensação  dando um equilíbrio eu vejo muita possibilidade 
inf;de nós conseguirmos um  um alto nível de cultura em todos os setores hoje 
inf;por que  se por um lado como justamente eu respondi isso 
inf;pra responder a sua pergunta  se era melhor ou  do 
inf;o mackenzie antigo ou ah   ou o mackenzie moderno é melhor  não é
inf;você queria saber isso   não  a 
inf;eu acho que o ensino era melhor por isso 
inf;por porque nós tínhamos aquela possibilidade de ter os professores que se dedicavam muito mais do que hoje 
inf;porque eles  não podem se dedicar 
inf;não estou acusando  eu também sou professora e também vejo 
inf;o problema como é  mas em compensação os alunos encontram outro campo de cultura 
inf;hoje por exemplo as bibliotecas  né
inf;que justamente é o meu setor 
inf;o que se oferece pro aluno em matéria de 
inf;biblioteca é uma coisa extraordinária 
inf;quer dizer nós  não tínhamos isso  a gente estava quase que se reduzida ao texto não é
inf;escolar  hoje  não há mais isso  há possibilidade de pesquisa 
inf;de maneira que o estudante  querendo aproveitar  o campo é maravilhoso 
inf;agora  é pro  o que eu tenho impressão que é:preciso desenvolver muito nos professores 
inf;é a:  o  vamos dizer 
inf;o trabalho de motivar os alunos 
inf;para que eles aproveitem tudo isso que eles têm 
inf;todas essas chances  e que eles possam gozar de tudo isso e aproveitar 
inf;tirar o partido  porque infelizmente a gente vê ainda uma grande preocupação 
inf;de aluno que está querendo apenas passar de ano 
inf;quer dizer  passar de ano  obter nota 
inf;já fechou uma  a  tal matéria 
inf;já fechou aquela matéria  sem essa preocupação  mas há muitos que se 
inf;aproveitam e se preocupam  quer dizer  o nosso trabalho deve ser justamente o de motivar esse 
inf;elemento estudantil  
doc;Doc certo  e como eram os professores naquela época exigentes demais ou  não
inf;Inf ah isto ahn  variava  não é
inf;nós tínhamos  professores exigen  exigentíssimos viu outros já  não eram tão exigentes né
inf;de modo que  isso eu penso que continua mais ou menos do mesmo jeito 
doc;Doc certo  e os ti a senhora disse dos trabalhos 
doc;agora  existia alguma outro tipo de avaliação  pra nota
inf;Inf ahn tipo de avaliação era justamente o resultado de tudo o que o estudante produzia   não é
inf;porque  eram os trabalhos  eram sabatinas  eram exames  não é
inf;não havia dispensa podia ter nota ótima e o aluno fazia todos os exames finais 
inf;de maneira que   é  era 
inf;esse conjunto  a frequência  a 
inf;a frequência também era considerada de modo que era a frequência 
inf;eram os trabalhos apresentados  as sabatinas e os exames  o resultado de tudo isso dava 
inf;a  a nota que o aluno  conseguiu obter para 
inf;passar  
doc;Doc e comé que foi o encerramento do curso na mackenzie a turma 
inf;Inf mas o encerramento de quê
doc;Doc do curso mesmo  quando vocês terminaram o curso  como é que foi houve alguma festa
inf;Inf ah 
inf;sim  bem  naturalmente havia festa de formatura 
inf;e no caso do mackenzie era muito agradável 
inf;porque  era um  um terreno muito grande 
inf;onde funcionavam vários cursos de e nós tínhamos então salão de festas 
inf;as festas eram lá mesmo  havia um campo de esporte 
inf;então havia uma convivência muito grande 
inf;entre os alunos todo mundo mais ou menos se conhecia 
inf;também muito menos do que hoje 
inf;o número de alunos  facilitava  e as reuniões eram muito animadas 
inf;nós tínhamos festas periódicas e  e festas esportivas mensais  quer dizer que havia  sabe
inf;ou era campeonato de bola ao cesto 
inf;ou campeonato de futebol  e  a atividade esportiva no mackenzie foi sempre muito grande 
inf;de modo que na ocasião  do encerramento do curso a festa de formatura era uma festa muito bonita  não é
inf;e  havia baile lá no mackenzie mesmo porque nós tínhamos um ginasium 
inf;que era muito grande  e que ce era cedido nessa ocasião para 
inf;a festa de formatura  
doc;Doc certo  agora eu gostaria de saber o seguinte 
doc;naquela época  uma vez que  o a turma encerrou o curso tal 
doc;muitos alunos foram para a faculdades  dessa turma a senhora disse que saíram grandes nomes né quais faculdades
inf;Inf nós  ahn  eh 
inf;faculdades a  naquela época  o número de faculdades era pequeno  não é
inf;de maneira que a maioria ficou no mackenzie mesmo porque como nós tínhamos escola de engenharia e escola de arquitetura 
inf;eles   ficaram  já acostumados a 
inf;o número de alunos  que estava no mackenzie desde o primeiro ano primário 
inf;era grande  de maneira que eles  não tinham vontade de sair  não é
doc;Doc arquitetura e  
inf;Inf engenharia  só arquitetura e engenharia e   de escola superior né
inf;não era univers  não havia universidade então 
inf;a a grande maioria ficava  ah  eu 
inf;posso contar até há pouco tempo mesmo 
inf;um caso interessante  um filho de uma amiga minha 
inf;entrou com nota muito boa  na politécnica  no ita 
inf;e no mackenzie  e  não queria ir nem à politécnica nem ao ita 
inf;queria ficar no mackenzie  quer dizer  isso pra mostrar que havia um espírito mackenzista né
inf;porque ele por exemplo foi um 
inf;que entrou desde o primeiro ano 
inf;e ele  não queria  foi preciso muita insistência  da parte da mãe 
inf;que via  a possi uma possibilidade melhor de ele ir aos outros 
inf;principalmente por causa de fi de si da situação financeira ela estava viúva 
inf;e   o aluno indo prá politécnica ou para o ITA 
inf;seria bem mais fácil para ela do que ele ficar no mackenzie 
inf;mas foi com muita pena que ele 
inf;desistiu da  da possibilidade de entrar na mackenzie 
inf;e isto isso aconteceu recentemente  quer dizer recentemente  não porque ele já se formou 
inf;mas mais ou menos há uma questão de sete ou oito anos atrás 
inf;e este espírito então antigamente existia muito mais forte porque 
inf;ah  o grupo era menor  todo mundo se conhecia 
inf;havia bastante amizade e tal  e então a grande maioria dos alunos ficavam 
inf;num desses cursos ou engenharia ou arquitetura 
inf;agora  o  uma parte menor 
inf;ia para ahn  o são francisco fazer  faculdade de direito 
inf;ou então ia para a faculdade de medicina 
inf;em menor número  este os candidatos à me que se dirigiam à medicina 
inf;eram   era um número bem menor  
doc;Doc e vocês recebiam alguma orientação religiosa
inf;Inf  não 
inf;orientação religiosa propriamente  não  o mackenzie é de   base protestante 
inf;presbiteriana  havia um culto diário  mas esse culto  não era 
inf;ahn  eu  não classificaria de orientação  religiosa 
inf;era como se fosse uma oração 
inf;na igreja católica que se fizesse todos os dias 
inf;então  eles liam um trechozinho da bíblia 
inf;e falavam alguma coisa sobre esse trecho da bíblia 
inf;mas ahn  disto para orientação religiosa propriamente ia bastante  distância  não é
inf;tanto que eu  e todas as minhas colegas que eram católicas 
inf;não houve nenhum caso de alguma se tornar protestante 
inf;portanto  quer dizer  que  não havia mesmo ahn 
inf;o assim um trabalho religioso  na escola   não é
inf;o que havia era um culto diário 
inf;que nós éramos obrigados a assistir 
inf;o que aliás era muito bom 
inf;porque era um trechinho da bíblia 
inf;e foi  justamente uma coisa que  al na ocasião  
inf;algumas pessoas condenavam você  católica
inf;numa escola protestante não tinha importância nenhuma porque eu não sofri influência nenhuma de  desse protestantismo 
inf;e hoje quando eu vejo o ecumenismo 
inf;aqui  entre as igrejas  eu vejo que nós fomos precursores disso num é
inf;porque  lá cada um continuou com a sua religião 
inf;e ouvia aquele trecho da bíblia 
inf;que não iria converter ninguém nem conseguiria converter com aquela leiturazinha  diária né
inf;e  e a leitura era da bíblia 
inf;de modo que não havia 
Inf;pregação nenhuma nem contra essa igreja nem a favor daquela 
inf;quer dizer  a  apenas  lia um    um pequeno trecho da bíblia pequeno e havia uma explicação 
inf;o  o  culto não durava mais do que sete ou oito minutos 
doc;Doc agora  existe um ritual da igreja católica  a senhora disse que é católica né existe algum ritual
doc;como é  a  a religião católica  em termos gerais
inf;Inf bom  eu  disse que eu sou católica porque eu nasci de uma família católica e quando me perguntam qual é a minha religião eu digo que é a católica porque é ah 
inf;eu estou vivendo dentro de uma organização católica fui batizada e  e me considero católica 
inf;mas  eu não    não faço comentário porque como católica propriamente dito eu sou uma má católica porque eu não 
inf;frequento  assim  a igreja com regularidade 
inf;não estou muito presa  aos princípios todos da igreja católica não é
inf;sou bastante independente  em matéria de religião  embora eu seja uma pessoa de muita 
inf;crença  eu tenho fé  acredito em deus 
inf;e acho até impossível uma pessoa 
inf;de uma inteligência  normal duvidar  de uma força superior 
inf;de maneira que e  justamente acho isto observando 
inf;observando as coisas na vida eu acho impossível 
inf;apesar de que hoje eu tenho lido muita coisa interessante sobre isso 
inf;outro dia um inquérito que fizeram em Londres 
inf;chegaram à conclusão de que só vinte e nove por cento das pessoas que foram 
inf;ahn  entrevistadas vamos dizer  acreditavam em Deus 
inf;isto foi um último questionário que foi respondi do em Londres e publicado num jornal 
inf;e  e eu  achei uma coisa triste uma situação destas não é
inf;porque dizer que  a religiosidade porque não importa a igreja 
inf;não importa a  a  religião  que a pessoa esteja seguindo mas quer dizer que 
inf;vinte e nove por cento só   acreditarem que há deus 
inf;eu tenho impressão que é uma coisa bem 
inf;ruim que está acontecendo para a humanidade quer dizer isso não é 
inf;não é é um inquérito apenas em londres 
inf;mas  já revela alguma coisa não é de modo que eu posso dizer que com a graça de deus eu creio em deus né
inf;mas  não    não quero falar do catolicismo porque eu acho que não tenho autoridade para isso porque pra isso eu precisaria  seguir mesmo bem não é
inf;e eu  não sou  tão ligada à igreja 
doc;Doc certo  a senhora diss e que acredita em deus 
doc;mas ahn  qual seria o representante de deus na terra 
doc;segundo a religião  católica
inf;Inf bom  segundo a religião católica  é uma coisa que está estabelecido né
inf;nós temos toda uma organização  o papa e todos  os  ahn  ahn missionários nas suas diferentes categorias e diferentes hierarquias não é
inf;ele seria o representante  e eu 
inf;aceito  que possa haver  uma representação mas é
inf;justamente por isso que eu prefiro não falar 
inf;porque eu na o    não estou assim tão ahn  
Inf;integrada  entende nesta representação não é
inf;especialmente atualmente que eu acho que os representantes 
inf;têm falhado muito  de acordo com meu desejo  quer dizer eles não estão sendo como eu desejaria que eles fossem agora quem sabe se a errada sou eu né
inf;não  imagino que  não quero 
inf;por isso que eu não quero di  atacar 
inf;quer dizer eu tenho me decepcionado com certas condutas 
inf;e    mas naturalmente é o modo de sentir meu 
inf;agora eu me sinto plenamente satisfeita 
inf;com a minha crença  eu não estou precisando me apoiar 
inf;em outras autoridades  religiosas  pra 
inf;me sentir consolada  tenho ahn  atravessado naturalmente dificuldades como  todos na vida atravessam né
inf;ora uma coisa ora outra  e tenho conseguido enfrentar muito bem 
inf;quer diz er graças ao meu modo de pensar então eu prefiro continuar com ele 
inf;e não preciso me ligar a 
inf;demais 
inf;a nenhuma igreja 
doc;Doc certo agora  a senhora conhece outras religiões já ouviu já leu alguma coisa
inf;Inf conheço  até bastante  por exemplo o protestantismo ahn 
inf;eu conheço bastante  não só a respeito do presbiterianismo 
inf;como  dos metodistas  dos batistas 
inf;porque eu tenho grandes amigos nessas 
inf;religiões  e tenho observado  ahn muito não só maneira de pensar  como a interpretação que eles dão não é
inf;e    se eu fosse me ligar  a uma igreja integralmente 
inf;eu continuaria na igreja católica  não porque eu ache que seja melhor do que essas outras 
inf;mas porque eu não vi que nenhuma fosse melhor do que a outra  então eu ficaria na que eu nasci não é
inf;mas eu conheço bem o protestantismo dessas 
inf;dessas grupos presbiteriano metodista e    batista  ah 
inf;conheço mais ou menos bem a Igreja Ortodoxa porque ela é muito parecida com a nossa  não é
inf;a ortodoxa russa por exemplo que eu 
inf;tenho bastante convivência tenho até afilhados na 
inf;ortodoxa russa  
doc;Doc é parecida em que termos
inf;Inf na  nas suas ahn  não só nas interpretações 
inf;como  nas ahn  manifestações que eles fazem 
inf;nos trabalhos religiosos  é muito semelhante à igreja ortodoxa russa que é a que eu tenho mais 
inf;ahn  convivência não é
inf;  são essas as religiões  tenho também o 
inf;não não  eu não considero o espiritismo propriamente uma religião 
inf;mas tenho muitos amigos  espíritas e que têm até procurado 
inf;me  convencer de certas coisas  e eu também não  não nego 
inf;mas  nunca me interessei  em 
inf;me aprofundar mais nesse campo  
doc;Doc certo  a senhora consideraria umbanda religião
inf;Inf não  religião não  mas  não consideraria propriamente religião 
inf;mas indiscutivelmente  também depende do QUE nós chamamos de religião porque é indiscutivelmente uma demonstração de fé  não é
inf;mas sempre que se fala em religião a gente 
inf;pensa numa coisa mais organizada  mas  ahn  eu 
inf;quer dizer que é uma demonstração de fé e uma demonstração de fé 
inf;bastante forte  que está aumentando assustadoramente  eu tive até a oportunidade de presenciar como está 
inf;extraordinário  uma vez que eu estava em itanhaém 
inf;no dia oito de dezembro  e cheGAram os umbandistas  foi uma coisa que me impressionou 
inf;a quantidade de pessoas  a praia ficou lotada  aquela praia grande que é enorme pois já se chama praia grande né
inf;foi uma coisa fantástica  o número de  ônibus 
inf;eu até senti  não ter  contado 
inf;o número de ônibus que passou pela nossa casa pra se dirigir às praias 
inf;foi uma coisa  acima do que podia imaginar  e isto 
inf;quer dizer que é uma demonstração de fé 
inf;e  eu penso que  não  não sei s  bem como eu digo precisaria definir bem religião pra eu poder dizer se  é ou não é não é
inf;o que é  é uma demonstração de fé indiscutível 
doc;Doc certo  agora  ahn parece 
doc;ou é  que o nosso calendário  o calendário brasileiro né tem uma certa ligação com a religião católica não
doc;os feriados  datas  
inf;Inf bem  naturalmente que tem porque  os  foi organizado de acordo com 
inf;esses princípios  começa pelo  digamos o natal  não é
inf;que é  a semana santa  o carnaval 
inf;quer dizer essas datas todas estão mascadas de acordo com isso 
inf;tanto que são em  o  a 
inf;o natal é uma data fixa mas as outras  são móveis não é
inf;e baseadas naquelas fatos religiosos  isso  é mas 
inf;uhn  em termos  não é
inf;quer dizer que essa base existiu mesmo  e  e assinalam as datas todas da religião católica são marcadas não é
inf;até há pouco tempo eram muito respeitadas nós tínhamos muitos feriados católicos 
inf;hoje é que eles diminuíram  algumas ahn  ahn  como é que se diz
inf;algumas    comemorações  oficialmente 
inf;mas naturalmente que  houve essa base mesmo  
doc;Doc a senhora que viajou pra outros países 
doc;inclusive europa.. .a senhora percebe alguma coisa nesse sentido 
doc;as datas  oficiais ahn  segundo a religião ou 
doc;seria assim mais  o brasil
inf;Inf essa pergunta eu não posso responder porque eu nunca me preocupei  de observar não é
inf;eu  o o que eu observei 
inf;foi  naturalmente  isso bastante
inf;o interesse     do povo  pela religião 
inf;por uma ou outra religião  isso eu tive muita oportunidade de ver em alguns países e achei interessante 
inf;quer dizer muito respeito à  à  igreja 
inf;a e religião  mas  não 
inf;não fiz observação nenhuma sobre data 
inf;isto eu estou completamente por fora 
doc;Doc e qual era o interesse  
doc;qual era o povo  qual foi o povo que  a senhora achou que  demonstrou maior interesse pela   religião  
inf;Inf bom isso também  essa re   ahn  respó   pergunta também eu  
inf;tenho preocupação de responder  porque como eu não tive é a preocupação de observar 
inf;eu fui observando assim ao acaso  não é  
inf;mas  pra eu dizer que eu acho que está é mais do que aquela eu posso até me comprometer 
inf;e dar uma informação errada porque 
inf;para isso eu precisaria fazer um 
inf;uma observação  aliás eu sou muito cuidadosa em fazer afirmações 
inf;de observações sociais  como a gente diz fulanos  ou tal raça é assim 
inf;tal raça é de outra maneira 
inf; quer dizer  ou elogiando ou éh  fazendo maus comentários não é  
inf;  eu não faço porque eu acho que 
inf;isso é uma coisa muito séria 
inf;a gente precisa observar muito  pra poder fazer um levantamento chegar a conclusões que nem sempre são exatas mesmo depois do levantamento não é  
inf;agora assim  determinar uma  característica 
inf;pra isso eu gostaria de responder só se eu tivesse feito mesmo uma observação melhor 
doc;Doc está certo  a senhora disse que foi batizada né  
doc;agora  dentro da   religião católica  além do batismo  existe alguma coisa mais  
inf;Inf  sim  eu fiz não é  
inf;digamos  fiz primeira comunhão  fui crismada 
inf;quer dizer que  eu  a minha família fez tudo que era para fazer dentro da   religião não é  
inf;frequentava missa aos domingos  depois é que eu fui  naturalmente mais adulta 
inf;tomando  outros rumos não é  
inf;mas ahn  toda   durante a minha infância 
inf;a  orientação religiosa da minha casa era  bem segura não é  
inf;quer dizer que depois que eu 
inf;pude escolher o que eu queria fazer é que eu 
inf;tomei outras deliberações  mas fiz   fiz estas todas essas obrigações 
inf;religiosas   
doc;Doc eu gostaria que a senhora 
doc;digamos o seguinte  que eu desconhecesse  a senhora disse que existe missa né  
doc;  digamos que eu desconhecesse  o assunto  o que é uma missa  
inf;Inf bem 
inf;a missa  eu  acho melhor não descrever 
inf;porque naturalmente eu teri   gostaria de fazer se fosse fazer uma coisa dessa 
inf;eu gostaria de fazer uma coisa bem feita 
inf;como eu acabei de dizer a você 
inf;eu sou uma pessoa que tenho preocupação de fazer descrições ou afirmações 
inf;de coisas que não estou bem 
inf;ah  ah  orientada pra fazer não é  
inf;de maneira que eu  se eu fosse responder isto exatamente 
inf;eu  teria que pensar bem não seria assim numa entrevista porque  como JUStamente eu não frequento missa não é  
inf;eu queria fazer éh  precisaria reavivar a minha memória com todos os dados pra poder dizer uma coisa certa 
inf;mas é que uma coisa que vai ficar gravada 
inf;eu não quero que fique sem ser correta 
doc;Doc não eu eu não quero os detalhes 
doc;digamos  não  ahn 
doc;por acaso  então  por perguntas  quem é que realiza uma missa  
inf;Inf era  o padre  mas agora até já estão freiras realizando né  
inf;nó   eu tenho  conheço aqui  na vila carioca  as franciscana de Maria né  
inf;então   você vê que eu  mais ou menos estou atualizada     as franciscanas de maria 
inf;estão fazendo todo o trabalho  elas estão realizando missa  elas estão dando extrema-unção  
inf;estão ahn  fazendo casamentos porque já estão autorizadas para isso  sabe  
doc;Doc certo  agora  existe a participação  de grande número de pessoas ou não  
doc;e como é essa participação  se houver  
inf;Inf agora  as missas estão todas com muita participação 
inf;eles estão até pedindo a pessoas que vão ajudar  não é  
inf;antigamente era o serviço feito só por aqueles meninos  que se chamavam coroinhas não é  
inf;e hoje não  as pessoas estão participando da missa as missas que eu tenho assistido todas tem havido muita participação 
inf;inclusive estão fazendo muita participação também com o pessoal éh 
inf;entre todos que estão  assistindo  mostrando assim uma união 
doc;Doc então continuando com a participação da missa que nós estamos falando né  
doc;a senhora disse das  das freiras tal  
inf;Inf o que você queria  que eu dissesse mais  
inf;  eu  eu estava 
inf;observando que  todos os que estão assistindo à missa 
inf;estão assistindo à missa  estão se cumprimentando  ao terminar a missa não é  
inf;e isto  eu  não e   estou tão convencida 
inf;da utilidade disso eu pessoalmente  mas talvez  isto seja uma falha minha 
inf;porque eu tenho conversado com muitas pessoas que estão gostando MUIto disso 
inf;achando que  é uma coisa interessante  que dá um aspecto assim 
Inf;bom  a gente ahn  e h 
inf;ver o seu irmão  afinal ali cumprimentar um desconhecido  mas que demonstra assim uma certa ahn 
inf;união e   e ouvi vejo e como eu estava falando 
Inf;eu pessoalmente não  não vejo muita utilidade disso mas 
inf;ah  são muitas as opiniões a favor disso 
inf;agora  o que eu acho que melhorou muito na missa 
inf;nas missas modernas  em relação às missas antigas  porque uma das coisas que eu não acho que foi bom 
inf;foi aquele exagero que começou haver de modernismo 
inf;com relação a músicas e tudo mais 
inf;um exagero que não  não combinava com o ambiente  da igreja 
inf;mas atualmente eu tenho assistido missas 
inf;que eu considero  magníficas  posso citar por exemplo 
inf;umas que foram realizadas  na  ahn puc na igreja da puc 
inf;há uns dois ou três padres lá que eu acho que são assim extraordinários 
inf;porque no decorrer da missa eles param 
inf;e eles conversam com  o público que está assistindo à missa 
inf;e as palavras que eles têm dito 
inf;têm sido  formidáveis extraordinárias como elevação  como provocação de uma conduta melhor 
inf;dos homens  mas tudo jogando com argumentos muito ah 
inf;espontâneos muito naturais  esse  estes padres fizeram trabalhos magníficos eu já assisti umas 
inf;diversas missas na puc  que me encantaram  a missa de domingo mesmo lá 
inf;é muito boa  eu estou citando a da puc porque é perto da minha casa não é  
inf;e eu posso ahn  então acompanhar  ah 
inf;outro dia assisti uma na liga das senhoras católicas também 
inf;monsenhor benedito que  ahn  rezou a missa 
